words,dem_AdamParkhomenko,dem_amyklobuchar,dem_AmyMcGrathKY,dem_aoc,dem_barackobama,dem_berniesanders,dem_funder,dem_ilhanmn,dem_joebiden,dem_joncoopertweets,dem_kamalaharris,dem_petebuttigieg,dem_rashidatlaib,dem_rbreich,dem_RepSwalwell,dem_senatorcarper,dem_senatorreid,dem_senbobcasey,dem_senschumer,dem_speakerpelosi,merged
the,35.00498775732294,43.140319131436094,42.89761230271146,36.06237816764132,49.25307831739484,46.70840262153966,41.027470567249374,37.332880126897805,45.158512298832015,39.67980125595197,39.02767699803047,42.43841035784931,39.54832784051003,49.640552028126145,37.05933873439895,48.44344788027325,42.901062045835666,45.564357548176865,49.06023692913057,69.377427327292,44.21429491884381
to,35.73047973156797,45.607830235236065,42.18939700526103,36.677952190417564,41.69010563160198,35.508167856793506,33.26792722083482,35.8599592114208,43.43613757468109,34.09012490511352,43.48502125012958,41.838997782173465,37.54930034037495,35.68242640499554,37.60674403328224,43.176722115033634,39.89659027389603,41.68773526602618,47.176524760349956,42.95633753089326,40.19710560669643
and,23.850548653305523,19.863464385589733,24.129906920275193,17.287370472966042,30.06437902368898,33.649613616355275,23.81377095968605,31.214593247224112,34.17837343236988,19.529363052929405,32.238001451228364,31.708925253251813,23.664163379977307,20.67481765230624,22.279395664550034,33.00829118214528,18.79541643376188,24.945221641665263,31.730084976348945,20.30128280569613,26.06410694575954
of,15.235331459145733,17.642704392169765,20.94293808174828,20.570431927772646,25.689105569098068,20.982099188105256,18.640742062076345,23.340131429866307,21.04526616071909,21.254571803188185,17.62205867108946,22.897560390817,19.774163920255013,21.14708506060765,20.85614188745347,21.692652656828493,20.54220234768027,22.13607506039665,20.80455439742141,28.83370601388725,21.10845290587899
a,19.588283304615942,17.88945550254976,17.25010117361392,23.08402585410896,21.68885555347209,21.275555120806025,21.584017124509455,19.431225923408114,21.099090370848806,24.15292250362294,16.481807815901316,20.499910088113648,19.395969528337567,19.415437896835808,21.67724983577841,17.938155081608176,18.655673560648406,19.77639193213102,16.492946544434677,15.005295986818878,19.464038591910715
in,15.87013693661014,18.341832538246422,20.84176446782679,17.184774802503334,16.688543033939624,19.27027291401741,17.392079914377454,16.542034896895537,15.501372517358309,19.391346352908702,18.86596869493107,17.562788467302045,18.045275271489544,18.83822217557853,17.462229034377053,18.042446680919852,14.323644494130798,17.079611214113154,13.688308426472435,16.064493350594326,17.393813416403805
for,11.063752607236783,16.614574765586443,17.14892755969243,17.236072637734686,14.750921932620788,18.927907659199846,18.105601141633965,17.78835259460684,12.702513590613057,13.801670002070251,17.62205867108946,16.903434634058623,17.55902533902426,15.322453691556909,14.615721480183929,13.610053710173647,14.603130240357741,16.911062419237034,20.09292980032651,14.652230198893726,16.200422449196843
is,20.495148272422234,14.188188846849812,11.736139214892756,17.030881296809277,9.43808988061754,15.064071211973001,17.83803068141277,16.315431679129844,11.410732547499865,17.252087502587813,10.93604229294081,14.445843073787687,12.912637095467069,14.43039303143202,12.09765710532078,11.315638525316785,15.301844605925098,13.259171863587842,10.548788145171418,10.650817935742028,13.547508726321274
this,16.86768840119706,15.380819213686461,10.92675030352084,9.079716835949522,6.8129258078629915,10.613322899344617,8.027113806635747,11.27351008384319,14.424888314763981,7.659926851148989,11.35067896755468,12.947311634598094,11.50791506834513,8.028545941123996,11.550251806437485,10.220576732544194,6.84740078256009,11.124220461823699,8.120892460965297,8.179357420265976,10.600449342514413
we,7.889725219914755,12.748807369633164,10.117361392148927,7.899866625628398,9.938121132570785,16.873716130294437,8.29468426685694,12.57647858599592,21.583508262016252,6.003726450900559,11.765315642168549,14.505784331355272,11.183748446701605,4.880096552447919,10.126998029340923,10.74203472910257,9.292901062045836,8.87690319680881,8.539495165138767,8.767800400141226,10.818957547777659
on,9.612768658746713,9.294291824313209,9.409146094698503,10.516056222427414,10.438152384524033,11.20023476474616,5.7973599714591515,9.007477906186269,7.965983099198019,8.142985301221447,9.432984347465535,9.2309536654079,8.752498784375168,8.658235818859211,11.714473396102475,9.386243938050791,11.039686975964226,7.35996404292376,10.758089497258151,8.414734612216076,9.398654213566559
are,6.6201142649859435,11.35055107747985,7.031566167543505,9.900482199651174,7.562972685792862,7.532035605986501,6.778451658936853,8.724223883979151,8.019807309327735,5.175626250776344,8.396392660930859,6.233890787028712,8.644443243827329,7.713701002256388,7.882636303919423,9.229806539083276,7.546115148127445,7.584695769425249,11.720875716857131,6.708249970577851,8.238879893323173
that,7.526979232792238,6.20990294456325,5.969243221367868,10.259567046270648,6.937933620851303,10.613322899344617,5.262219051016768,8.157715839564922,7.965983099198019,9.38513560140777,5.960402197574376,9.290894922975484,7.293748986979307,7.556278532822585,7.663674184366105,11.263492725660948,8.594186696478479,6.85431765829541,7.9115911088785635,7.002471460515476,7.913918972675269
our,4.987757322934615,9.746668860009871,9.257385673816268,4.924592182209911,13.06331645727858,11.00459747627898,7.313592579379236,10.083843190573306,12.541040960223908,4.278517700641778,11.454338136208147,11.92831025594917,9.292776487114377,2.676181980374665,6.295160937157871,12.619283516712729,5.729457797652319,8.14652508567897,6.572062455523462,12.357302577380251,8.835575376926656
you,15.235331459145733,5.75752590886659,9.965600971266694,8.412844977941932,6.937933620851303,4.890932211679546,7.581163039600428,6.118286879673692,4.467409440766456,7.5909185011386375,5.856743028920908,7.732422226218306,9.130693176292615,4.932570708925853,13.411429822640685,6.048912760077176,2.794857462269424,6.067756615540199,2.762777847544895,3.4718135812639757,6.7373363289500965
i,9.068649678062938,8.55403849317322,8.852691218130312,6.207038062993742,7.187949246827927,4.255111024161205,8.919015340706386,6.28823929299796,8.342752570106034,6.969843351045476,6.375038872188245,5.5145956962177065,7.077637905883624,3.043501075720208,10.181738559229254,6.622516556291391,7.126886528787032,6.292488342041688,2.386035413788773,5.8844297987525005,6.614075290083649
with,4.443638342250838,7.073531830893239,5.817482800485633,4.257720324202319,6.000375023438965,6.211483908833024,7.135212272565108,7.138001359619306,5.382421012971634,4.692567800703885,5.493935938633772,7.7923634837858895,5.889026959857366,3.8306134228892272,6.514123056711189,5.579600563174636,5.519843487982113,5.786841957413338,5.106952990916321,9.591620571966576,5.95855067429391
it,7.1642332456697195,4.6471459121566046,4.906920275192229,6.566122909613214,5.312832052003251,4.450748312628387,6.689261505529789,4.98527079084523,7.7506862586791545,7.245876751086881,4.509173836425832,6.473655817299047,5.618888108487763,6.191950464396285,6.40464199693453,4.849559367992908,5.589714924538848,4.944097983032755,5.316254343003056,3.7071907732140756,5.574760621459747
