words,Disputed_49,Disputed_50,Disputed_51,Disputed_52,Disputed_53,Disputed_54,Disputed_55,Disputed_56,Disputed_57,Disputed_58,Disputed_62,Disputed_63,Hamilton_1,Hamilton_11,Hamilton_12,Hamilton_13,Hamilton_15,Hamilton_16,Hamilton_17,Hamilton_21,Hamilton_22,Hamilton_23,Hamilton_24,Hamilton_25,Hamilton_26,Hamilton_27,Hamilton_28,Hamilton_29,Hamilton_30,Hamilton_31,Hamilton_32,Hamilton_33,Hamilton_34,Hamilton_35,Hamilton_36,Hamilton_59,Hamilton_6,Hamilton_60,Hamilton_61,Hamilton_65,Hamilton_66,Hamilton_67,Hamilton_68,Hamilton_69,Hamilton_7,Hamilton_70,Hamilton_71,Hamilton_72,Hamilton_73,Hamilton_74,Hamilton_75,Hamilton_76,Hamilton_77,Hamilton_78,Hamilton_79,Hamilton_8,Hamilton_80,Hamilton_81,Hamilton_82,Hamilton_83,Hamilton_84,Hamilton_85,Hamilton_9,Jay_2,Jay_3,Jay_4,Jay_5,Madison_10,Madison_14,Madison_37,Madison_38,Madison_39,Madison_40,Madison_41,Madison_42,Madison_43,Madison_44,Madison_45,Madison_46,Madison_47,Madison_48,merged,Shared_18,Shared_19,Shared_20,TestCase_64
the,107.48218527315915,91.2311780336581,106.37204522096609,100.58855002675227,90.03656307129799,101.43493320138545,89.50169327527819,88.20023837902265,98.71053801689641,101.79076343072572,80.66528066528068,95.45603138280484,81.6451810926949,75.61361836896279,81.8847209515096,77.00101317122595,82.61009321761492,95.7910014513788,104.50563204005006,92.07920792079207,83.5896002236511,103.59869138495092,74.98766650222002,88.78968253968254,84.9564857024451,103.49462365591398,104.52322738386307,99.37888198757763,83.41708542713567,93.59047078842882,101.12359550561797,93.87755102040816,84.29973238180197,83.84547848990343,90.1803607214429,93.25090159711488,85.04007123775601,100.04387889425188,99.87113402061857,109.26016658500735,110.67538126361656,110.51373954599761,94.58577951728635,107.52330226364846,90.20618556701031,91.23328380386329,103.50678733031674,87.77885548011639,88.5547201336675,105.72259941804074,107.3791348600509,87.88962698007154,92.17046580773044,101.84884852416478,85.38899430740038,77.47834456207892,103.71267150928168,99.36628643852978,108.05626598465473,82.82208588957054,91.46628948609147,90.14290949065591,85.40218470705065,63.94316163410302,64.62585034013605,52.980132450331126,49.59883296863603,87.09996700758825,94.05255878284923,84.8816029143898,82.33890214797137,115.07785795670337,97.12230215827338,94.61345241417807,94.44048467569493,103.77630441049293,108.56947763741893,131.50557620817844,115.9090909090909,119.36530833032818,89.70976253298153,93.69082547807811,114.48598130841121,102.60115606936417,91.5538362346873,75.96566523605149
of,61.75771971496437,53.144375553587246,58.581706063720446,54.57463884430177,58.95795246800731,58.38693715982187,59.990324141267536,72.10965435041716,68.03023566029347,56.07917059377945,60.2910602910603,57.53514220333442,65.07059545733578,71.65479018210608,64.95882891125343,59.77710233029382,63.32369013179043,69.66618287373004,69.46182728410513,75.24752475247524,67.93402292423818,55.61613958560523,59.20078934385792,62.5,61.74886033982594,63.17204301075269,59.90220048899755,68.32298136645963,57.28643216080402,60.12478729438457,60.80634500991408,53.06122448979592,61.55218554861731,57.50658472344162,64.79625918503675,59.247810407006696,74.79964381121995,64.50197455024133,65.72164948453609,64.67417932386086,73.63834422657953,65.71087216248507,58.05609915198956,77.89613848202397,67.86941580756013,57.949479940564636,57.126696832579185,58.68089233753637,60.150375939849624,82.44422890397672,76.33587786259542,59.78538579458355,72.34886025768088,60.979565358417126,52.18216318785579,65.44754571703561,68.60371267150927,63.117870722433466,60.10230179028133,56.407634628493525,69.07119283356907,63.02674972517405,76.96127110228402,49.14150384843102,42.176870748299315,43.34738109572547,38.65791393143691,51.79808644011877,57.630244352236055,58.65209471766849,56.98090692124105,60.007595898214966,57.226945716154354,57.21462461624338,65.57377049180329,64.28365523205534,58.72311369067941,66.91449814126393,61.74242424242424,68.15723043635053,52.770448548812666,61.88484507980107,63.55140186915888,60.69364161849711,52.86911669890394,42.918454935622314
to,35.03562945368171,25.686448184233832,25.693730729701954,38.523274478330656,33.36380255941499,30.183077684314693,37.73584905660377,25.029797377830754,33.34815473543797,28.746465598491987,33.264033264033266,28.76757110166721,44.19889502762431,33.2541567695962,37.96889295516926,44.579533941236065,37.92992606878817,43.54136429608128,36.92115143929912,27.22772277227723,40.53676265026559,53.43511450381679,45.38727183029107,45.138888888888886,39.78450062163282,43.01075268817205,40.95354523227384,49.689440993788814,38.19095477386935,46.51162790697674,31.064111037673495,39.06705539358601,47.72524531668154,44.337137840210715,43.420173680694724,38.124678001030404,27.15939447907391,38.61342694164107,39.94845360824742,41.64625183733464,37.472766884531595,50.17921146953405,49.57599478147423,33.95472703062583,35.223367697594504,39.22734026745914,44.11764705882353,48.01163918525703,34.67000835421888,34.917555771096026,46.31043256997455,42.41185487991824,35.678889990089196,41.51800194615634,39.84819734345351,38.498556304138596,46.00484261501211,41.31812420785805,53.069053708439895,37.49147920927062,33.23903818953324,42.13997801392451,35.253227408143,31.37951450562463,38.0952380952381,30.70439494280554,32.82275711159737,32.99241174529858,33.65606270170586,30.965391621129328,35.20286396181385,34.941131788834035,39.568345323741006,33.21239185040469,33.14326443335709,32.28596137215336,27.654489586889724,31.133828996282528,32.57575757575758,23.440317345834835,29.023746701846967,36.91969952348253,25.700934579439252,28.90173410404624,27.724049000644744,37.768240343347635
and,24.94061757719715,29.229406554472984,21.0688591983556,19.796682718031033,28.3363802559415,18.80257298367145,23.222060957910013,32.18116805721097,24.01067140951534,22.148916116870875,28.690228690228693,22.229486760379206,24.554941682013506,28.1076801266825,28.362305580969807,17.223910840932117,23.78656380585021,20.319303338171263,32.54067584480601,24.25742574257426,23.203802068772717,30.534351145038165,29.107054760730144,22.817460317460316,20.306672192291753,22.17741935483871,21.393643031784844,26.175687666370894,22.613065326633166,24.95745887691435,27.098479841374754,25.655976676384842,21.40945584299732,28.533801580333627,25.71810287241149,17.51674394641937,36.064113980409616,16.235190873189996,16.10824742268041,18.128368446839783,18.300653594771244,27.479091995221026,19.569471624266143,34.62050599201065,21.907216494845358,24.962852897473997,22.058823529411764,25.703200775945685,17.96157059314954,24.24830261881668,18.320610687022903,24.527337761880432,20.81268582755203,24.002594875121634,22.770398481973434,25.98652550529355,27.44148506860371,22.56020278833967,26.214833759590793,20.449897750511248,21.45214521452145,26.74972517405643,22.840119165839127,49.733570159857905,41.49659863945578,54.786273329319684,53.24580598103574,40.25074232926427,27.662517289073303,36.79417122040073,28.34128878281623,24.306874287884543,33.02812295618051,24.560424225509347,34.212401995723454,22.773133467858173,30.0443837487197,29.275092936802974,28.03030303030303,31.373963216732783,26.91292875989446,26.61943109224463,36.915887850467286,39.4990366088632,34.81624758220503,44.20600858369099
in,20.19002375296912,24.80070859167405,25.693730729701954,17.656500802568218,20.56672760511883,32.16229589312221,14.513788098693759,19.666269368295588,18.23032458870609,27.332704995287468,20.79002079002079,22.229486760379206,16.574585635359114,26.524148851939824,25.16010978956999,16.210739614994935,23.465123754419803,18.867924528301884,18.147684605757195,23.762376237623762,24.042493709812693,14.176663031624864,27.627035027133697,19.841269841269842,26.93742229589722,20.833333333333332,25.061124694376527,18.189884649511978,24.623115577889447,27.793533749290983,26.437541308658297,19.24198250728863,24.531668153434435,20.632133450395084,23.046092184368735,31.942297784647092,26.714158504007123,35.541904344010526,30.283505154639176,24.987751102400786,30.93681917211329,21.505376344086024,26.09262883235486,22.969374167776298,18.470790378006875,28.231797919762258,22.62443438914027,16.97381183317168,25.898078529657475,23.278370514064015,22.391857506361323,25.549310168625446,30.22794846382557,22.05643853389556,33.20683111954459,20.211742059672762,18.966908797417272,34.22053231939164,24.296675191815854,36.468984321745054,21.45214521452145,26.74972517405643,18.37140019860973,20.130254588513914,17.006802721088437,14.449127031908489,20.423048869438368,20.785219399538104,18.44167819271554,22.950819672131146,18.496420047732695,27.725028484618306,22.23675604970569,17.583030979626013,22.095509622238062,15.854713173825312,22.533287811539775,18.58736059479554,17.424242424242426,22.358456545257845,23.7467018469657,23.2068169049254,19.1588785046729,19.7495183044316,25.145067698259187,22.746781115879827
a,20.19002375296912,12.400354295837024,23.638232271325798,18.726591760299627,21.937842778793417,17.318159327065807,23.222060957910013,28.605482717520857,16.007114273010227,24.03393025447691,31.185031185031185,18.960444589735207,15.346838551258442,27.711797307996832,21.50045745654163,26.34245187436677,22.179363548698166,17.900338655055638,18.773466833541928,31.683168316831683,27.397260273972602,13.631406761177754,25.160335471139614,21.825396825396822,21.964359718193123,20.161290322580644,20.17114914425428,22.182786157941436,19.095477386934675,13.613159387407828,23.793787177792463,25.655976676384842,20.07136485280999,19.754170324846356,15.03006012024048,25.244719216898506,23.15227070347284,23.25581395348837,22.551546391752577,21.558059774620286,21.350762527233115,14.336917562724015,19.569471624266143,21.970705725699066,20.61855670103093,21.39673105497771,25.452488687782804,26.67313288069835,26.733500417710943,26.188166828322018,26.463104325699746,24.527337761880432,30.723488602576808,18.812844631852094,21.821631878557874,21.65543792107796,15.334947538337369,22.053231939163496,14.066496163682864,23.68779822767553,16.73738802451674,24.91755221692928,23.833167825223438,17.169923031379515,8.843537414965986,9.63275135460566,6.564551422319474,26.064005278785878,17.05855232826187,20.76502732240437,27.446300715990454,20.129130269654386,17.65860039241334,22.606754116662017,17.818959372772632,26.80887863937734,14.680778422669853,9.29368029739777,15.909090909090908,12.621709340064912,18.469656992084435,20.77220800299644,17.289719626168225,13.00578034682081,18.052869116698904,13.73390557939914
be,27.909738717339668,27.45792736935341,32.37410071942446,24.612092027822364,23.30895795246801,19.792182088075208,25.157232704402517,22.64600715137068,19.119608714984437,24.976437323279924,25.363825363825367,19.614253023864006,20.871700429711478,17.418844022169438,18.298261665141812,25.329280648429584,14.143362262937963,26.608611514271892,15.018773466833542,19.801980198019802,15.096449538719598,24.536532170119955,25.65367538233843,25.79365079365079,22.37878159966846,22.8494623655914,25.061124694376527,22.182786157941436,24.623115577889447,20.419739081111743,19.82815598149372,18.658892128279884,18.73327386262266,19.754170324846356,27.38810955243821,22.66872746007213,8.014247551202136,28.960070206230803,23.84020618556701,31.84713375796178,16.99346405228758,10.752688172043012,23.483365949119374,16.977363515312916,20.18900343642612,11.589895988112927,21.493212669683256,19.88360814742968,20.46783625730994,23.278370514064015,14.24936386768448,29.637199795605518,18.830525272547074,21.407719753486862,28.46299810246679,16.843118383060634,19.37046004842615,21.546261089987325,23.017902813299234,17.893660531697343,22.159358793022157,12.45877610846464,12.909632571996028,8.880994671403197,21.088435374149658,15.653220951234198,22.611232676878192,20.125371164632135,20.74688796680498,17.122040072859743,15.214797136038186,19.74933535890619,17.65860039241334,20.65308400781468,17.106200997861727,22.4848659556068,18.436326391259815,24.163568773234203,27.27272727272727,12.621709340064912,16.886543535620053,19.90344798884658,2.803738317757009,6.74373795761079,4.513217279174726,24.463519313304722
that,12.470308788598574,10.628875110717448,11.819116135662899,16.051364365971107,10.968921389396709,13.854527461652648,15.481373971940009,11.32300357568534,13.783903957314362,15.551366635249765,14.553014553014554,16.345210853220006,17.188459177409456,9.501187648456057,12.351326623970722,18.2370820668693,12.214721954355513,7.7406869859700045,13.141426783479348,11.881188118811881,14.816885658372938,15.267175572519083,16.280217069560926,15.376984126984127,17.405719021964362,25.537634408602152,12.224938875305625,13.309671694764862,15.577889447236181,17.016449234259785,21.150033046926634,18.658892128279884,19.179304192685102,16.24231782265145,14.696058784235136,14.940752189592994,10.68566340160285,20.184291355857834,20.61855670103093,11.758941695247428,15.686274509803921,9.557945041816009,12.393998695368557,15.312916111850864,11.597938144329897,10.99554234769688,12.443438914027148,9.21435499515034,16.70843776106934,12.609117361784675,17.811704834605596,17.373530914665302,15.857284440039642,22.05643853389556,18.026565464895636,8.662175168431183,10.088781275221953,12.420785804816223,12.148337595907927,20.449897750511248,19.801980198019802,12.45877610846464,12.413108242303872,26.05091770278271,13.605442176870747,10.234798314268513,16.776075857038656,10.22764764104256,15.214384508990317,17.122040072859743,16.706443914081145,10.634257500949488,20.601700457815568,11.722020653084009,11.404133998574483,14.413375612568464,9.559576647319904,13.940520446096654,14.772727272727272,12.98232960692391,14.24802110817942,14.488003828786649,9.813084112149532,6.262042389210019,5.802707930367505,19.74248927038627
it,15.439429928741092,14.171833480956598,16.44398766700925,17.121455323702513,8.226691042047532,13.359722909450767,8.22447992259313,11.918951132300357,11.560693641618496,11.310084825636192,12.889812889812891,13.076168682576006,12.277470841006753,8.31353919239905,11.893870082342177,6.079027355623101,9.643201542912246,17.900338655055638,10.012515644555695,8.415841584158416,12.859938495946324,12.540894220283533,11.346817957572767,12.896825396825395,17.820140903439704,14.112903225806452,11.002444987775062,18.633540372670808,14.57286432160804,15.314804310833805,15.862524785194978,22.740524781341108,10.258697591436219,11.41352063213345,13.026052104208416,17.001545595054097,4.897595725734639,18.429135585783236,16.10824742268041,16.168544830965214,15.250544662309368,11.947431302270013,13.04631441617743,9.986684420772303,7.302405498281787,12.481426448736999,16.968325791855204,10.66925315227934,17.96157059314954,13.579049466537343,13.740458015267174,13.285641287685232,14.370664023785926,17.515407071034705,12.333965844402277,9.624639076034649,12.510088781275222,16.223067173637514,8.312020460358058,17.382413087934562,15.087223008015087,15.023818248442653,11.916583912611719,22.498519834221433,14.285714285714285,16.857314870559904,15.317286652078774,15.506433520290333,14.29230059935454,13.479052823315119,14.618138424821002,16.710976072920623,11.44538914323087,14.512977951437344,10.334996436208126,16.43124819832805,6.486855582109936,8.828996282527882,12.121212121212121,7.933645870897943,12.664907651715039,13.255092910502112,12.149532710280374,9.152215799614643,7.7369439071566735,12.875536480686696
is,10.688836104513063,5.314437555358724,10.277492291880781,10.165864098448367,12.79707495429616,17.318159327065807,12.094823415578132,6.5554231227651965,15.117830146731881,8.011310084825636,15.384615384615385,11.768551814318405,7.980356046654389,3.5629453681710217,10.064043915827996,9.11854103343465,15.429122468659596,6.773101112723754,6.88360450563204,13.366336633663366,13.419066256639642,12.540894220283533,4.93339911198816,8.432539682539682,10.360547036883547,9.408602150537634,8.557457212713937,13.75332741792369,7.537688442211055,13.045944412932501,10.575016523463317,15.160349854227405,7.136485280999108,17.998244073748904,11.690046760187041,8.758371973209686,3.561887800534283,12.28609039052216,6.443298969072164,8.329250367466928,12.636165577342048,10.752688172043012,12.393998695368557,17.643142476697736,6.013745704467354,16.34472511144131,7.918552036199094,11.639185257032008,12.11361737677527,10.66925315227934,8.651399491094146,10.219724067450178,10.406342913776015,15.893610120012974,10.436432637571158,10.105871029836381,9.281678773204197,15.462610899873257,9.59079283887468,19.768234492160875,16.03017444601603,13.924514474166362,7.944389275074478,9.473060982830075,4.761904761904763,6.020469596628537,5.105762217359592,13.526888815572418,11.52604887044721,10.92896174863388,17.004773269689736,21.64830991264717,9.48332243296272,10.605637733742673,13.898788310762653,9.801095416546556,9.559576647319904,10.687732342007434,2.651515151515152,15.506671474936892,15.303430079155673,11.408327610961983,4.672897196261682,7.707129094412331,9.671179883945841,7.296137339055794
