words,merged,repub_benshapiro,repub_charliekirk11,repub_danieljhannan,repub_DeAnna4Congress,repub_dineshdsouza,repub_drmartyfox,repub_emfingersscout,repub_erictrump,repub_gopleader,repub_IngrahamAngle,repub_KellyannePolls,repub_lrihendry,repub_meghanmccain,repub_michellemalkin,repub_realdonaldtrump,repub_sarahpalinusa,repub_scrowder,repub_seanhannity,repub_tedcruz,repub_tuckercarlson
the,44.05123588089917,46.57037372886845,49.79121518050637,55.6083650190114,41.33266533066132,54.56500820739232,39.42046039567552,37.72124963729568,45.12372634643377,46.27334324904974,42.5500260358551,42.56923498766109,43.082241872215945,39.402353563400766,39.14478855525861,44.58426358162506,19.157088122605362,44.32594567572072,22.979397781299525,47.8235119928931,52.298352124891586
to,29.750097744172116,24.807306172679578,34.09271103123844,31.21039290240811,27.471609886439545,26.942887870040188,29.638890931823195,26.404874746106973,27.043591511529918,41.9214454911034,28.936993230677675,30.778722237455444,30.117678345854664,29.088985852175064,28.84766546140544,26.385224274406333,28.024083196496992,25.745709048491918,31.469323069956985,31.31477642878294,28.274067649609712
and,19.251118229198426,21.24489928104152,14.482795073735398,17.479932403886774,16.28256513026052,21.905247070809985,15.95940280944326,16.539317148660412,22.983222247759137,24.78929102627665,20.010414342036746,19.330956950918562,22.405425171198726,27.502313896601876,14.934758685741235,26.588187538055614,9.085933223864258,22.6628895184136,7.357935250169798,19.469943737044712,12.489158716392021
of,21.231110266186974,26.815208238875577,19.97991437179555,26.351922264469792,19.539078156312623,25.98064187468161,20.519232183569905,15.185221007834414,22.83000076610741,20.60265520850548,21.27501301792755,22.75843158760625,20.344391995213087,20.692846753933626,17.528690457475243,17.860767201136593,15.544608648056924,18.163639393434426,23.884989812089653,24.948178856973648,16.91240242844753
a,18.444056257599833,24.74253513828616,20.66705428405307,24.081115335868187,17.869071476285907,21.622233542763347,18.018680591306904,14.0245671728407,15.628591128476213,16.305844763950862,14.505690694041508,17.68576912530847,18.017419054584135,20.957292079862487,15.720798616569724,20.02570868006224,9.085933223864258,22.16297283786036,10.187910346388952,19.24785312407462,16.565481352992194
in,16.779715125058736,16.840468942289007,22.14704794122311,17.796789184621883,15.447561790247162,14.999716986471954,13.091123041847466,11.60653834993713,19.076074465640083,13.276042527405938,18.522651193929924,19.125308472717304,15.823415996276843,17.850059500198334,15.327778651155478,18.53731141330086,15.654077723043239,12.247958673554407,21.734208738963098,15.028131477642878,20.294882914137034
for,12.51125403082618,9.391799987045793,14.377081241080395,9.03041825095057,10.938543754175017,9.735665364804438,11.399573435316613,11.993422961601702,11.798054087183024,14.763399988982536,12.274045971881275,16.451878256100905,14.75965693770361,12.098373661245539,13.284074831001416,13.66619308571815,13.355227148330597,11.498083652724546,13.357482454154404,13.029315960912053,13.96357328707719
is,15.9403706745962,20.791502040287583,19.821343622813046,17.796789184621883,20.123580494321978,18.622290145468952,15.665220269177025,16.44259599574427,17.7736918716004,13.220955214014213,11.976493342259912,11.790512750205648,14.09480752609534,18.577284146502713,11.711994969344444,15.62817130099452,9.085933223864258,13.331111481419763,9.169119311750055,17.619188628960618,18.9071986123157
this,8.522574420081137,11.270159984454951,5.919974628680163,6.918039712716519,10.521042084168338,12.792211467708157,8.237111127454584,7.447528774542993,13.023825940396843,9.199581336418223,8.331473629398198,7.403345215245407,7.9117079981384215,15.800608224249636,6.838547398207829,5.547662539746973,1.9704433497536944,7.1654724212631224,2.4903780846728547,10.512289013917679,5.72419774501301
we,5.44139115962251,4.533972407539348,3.4356995612875947,7.657372201098436,5.177020708082832,6.396105733854078,5.074648819592557,4.739336492890995,8.197349268367425,7.271525367707817,3.2730789258350073,3.1532766657526734,6.9144338807260155,6.611133148221605,3.930199654142431,6.224206751911238,1.3136288998357963,6.665555740709881,1.697985057731492,4.589872668048564,8.673026886383347
on,8.630182682960948,8.161150333570827,5.5499762143876525,6.601182931981411,7.09752839011356,8.094186902133924,8.899021843053616,7.544249927459135,8.044127786715698,10.136065664077563,10.41434203674775,10.762270359199341,6.11661458679609,9.255586407510247,10.375727086936017,10.01285434003112,10.83743842364532,7.0821529745042495,12.451890423364274,7.9952620669233045,10.667823070251519
are,7.575621706738788,7.578211024030054,10.677097098155294,7.287705956907478,8.3500334001336,7.811173374087281,9.487386923586085,7.931134539123707,10.419060752317474,7.657136561449898,6.025440749832627,5.27831094049904,7.579283292334286,8.065582440830358,7.152963370539223,6.833096542859075,2.40831964969896,7.415430761539743,3.395970115462984,7.328990228013029,9.106678230702514
that,7.959424511010119,12.500809637929917,9.091389608330251,13.09674693705112,7.932531730126921,7.86777607969661,6.839744061189968,5.706548022052423,6.4353022293725575,7.657136561449898,8.405861786803541,6.854949273375377,5.983644704474437,6.941689805632685,4.794843578053765,8.659765915702591,2.5177887246852766,7.915347442092985,2.716776092370387,9.179745336097128,11.621856027753687
our,4.505199272568143,1.6840468942289009,4.598551720492627,3.168567807351077,4.008016032064128,3.169751514122375,4.633375009193204,4.93277879872328,8.044127786715698,9.144494023026496,1.7109276203228447,4.318618042226488,5.717704939831129,4.826127198201772,3.615783681811036,8.11853054597118,0.9852216748768472,2.249625062489585,1.697985057731492,3.7015102161681965,7.111882046834346
you,8.07420665808192,5.6350799922274755,10.835667847137797,6.389945078158006,12.525050100200401,6.396105733854078,8.60483930278738,7.931134539123707,13.483490385352027,2.423841789235939,6.099828907237968,7.060597751576639,11.235955056179774,12.296707655692185,8.253419273699105,5.41235369731412,2.1893814997263275,16.497250458256957,3.1695721077654517,7.180929819366301,7.632263660017346
i,5.78573760083791,8.031608264783989,2.431418151065067,7.551753274186734,8.600534402137608,5.4338597384955,5.810105170258145,6.190153786633137,6.128859266069103,3.6357626838539083,2.0828684073495496,3.221826158486427,7.579283292334286,15.602274229802989,5.030655557302311,5.480008118530546,0.875752599890531,9.415097483752707,2.4903780846728547,5.034053893988748,2.6886383347788376
with,5.520303885734373,5.440766889047218,6.977112955230192,6.601182931981411,5.594522378089512,4.5848191543555785,5.442376994925351,5.416384563303994,4.6732551903776915,5.508731339172589,5.653499962805921,6.443652316972854,4.786915763579549,5.222795187095068,5.109259550385159,4.871118327582708,5.363984674329502,7.582069655057491,5.433552184740774,5.256144506958839,3.642671292281006
it,6.069106026421416,7.966837230390569,3.6471272265976005,10.086607520067595,6.930527722110888,6.113092205807438,5.148194454659116,5.996711480800851,8.197349268367425,3.911199250812538,4.165736814699099,4.7299149986290105,7.845223056977595,5.0905725241306365,5.345071529633706,6.9007509640755025,3.721948549534756,6.582236293951008,2.1507810731265566,5.108084098312112,10.147441457068517
have,5.00019728181528,5.1816827514735415,4.334267138855119,7.340515420363329,5.8450233800935205,5.660270560932813,4.26564683386041,5.706548022052423,5.592584080288056,5.673993279347766,3.5706315554563712,4.318618042226488,5.0528555282228576,5.883908501917229,3.930199654142431,5.41235369731412,1.9704433497536944,5.082486252291285,3.0563731039166853,3.6274800118448325,5.98438855160451
be,5.692477106342072,5.829393095407734,6.55425762461018,6.1258977608787495,5.260521042084169,5.5470651497141565,6.1778333455909396,4.5458941870587095,4.290201486248372,5.288382085605686,5.727888120211262,3.9073210858239653,5.983644704474437,6.016131164881661,5.345071529633706,7.847912861105474,3.8314176245210727,7.998666888851858,3.8487661308580483,6.736748593426118,5.030355594102342
not,5.08628389211913,6.99527171448928,6.289973042972673,5.75623151668779,5.093520374081496,7.4149544348219845,5.368831359858792,3.7721249637295675,1.762047038994867,4.131548504379442,4.314513129509782,4.318618042226488,5.252310351705339,5.817797170435012,4.952051564219462,4.194574115418442,2.8461959496442253,5.499083486085652,5.093955173194476,5.330174711282203,5.030355594102342
trump,3.475746891017938,1.230649653474966,5.972831545007664,0.2640473172792564,5.344021376085505,1.5848757570611876,3.5301904831948225,5.60982686913628,6.818355933501877,0.8263097008758883,3.2730789258350073,4.112969564025226,6.781463998404361,0.8594473092688086,0.9432479169941833,2.909140112306339,15.32567049808429,1.41643059490085,7.357935250169798,1.3325436778205508,1.3876843018213356
